Distance,Diameter,Radius,,text
5.32888,2.13599,1.067995,,5.32888 1.067995 0
5.36643,2.13021,1.065105,,5.36643 1.065105 0
5.39757,2.12559,1.062795,,5.39757 1.062795 0
5.40539,2.12404,1.06202,,5.40539 1.06202 0
5.44483,2.11584,1.05792,,5.44483 1.05792 0
5.47414,2.11017,1.055085,,5.47414 1.055085 0
5.49112,2.10648,1.05324,,5.49112 1.05324 0
5.50258,2.10359,1.051795,,5.50258 1.051795 0
5.54848,2.09185,1.045925,,5.54848 1.045925 0
5.63696,2.0658,1.0329,,5.63696 1.0329 0
5.69192,2.04799,1.023995,,5.69192 1.023995 0
5.7259,2.03463,1.017315,,5.7259 1.017315 0
5.82258,1.9998,0.9999,,5.82258 0.9999 0
5.84332,1.99351,0.996755,,5.84332 0.996755 0
5.85528,1.98923,0.994615,,5.85528 0.994615 0
5.86228,1.98644,0.99322,,5.86228 0.99322 0
5.91155,1.9668,0.9834,,5.91155 0.9834 0
5.93069,1.95934,0.97967,,5.93069 0.97967 0
5.9629,1.94625,0.973125,,5.9629 0.973125 0
6.05492,1.91446,0.95723,,6.05492 0.95723 0
6.08156,1.90726,0.95363,,6.08156 0.95363 0
6.09133,1.90479,0.952395,,6.09133 0.952395 0
6.14585,1.88919,0.944595,,6.14585 0.944595 0
6.15932,1.88429,0.942145,,6.15932 0.942145 0
6.18525,1.87521,0.937605,,6.18525 0.937605 0
6.20563,1.86782,0.93391,,6.20563 0.93391 0
6.25048,1.85198,0.92599,,6.25048 0.92599 0
6.34575,1.82509,0.912545,,6.34575 0.912545 0
6.37272,1.81996,0.90998,,6.37272 0.90998 0
6.37936,1.8187,0.90935,,6.37936 0.90935 0
6.38003,1.81855,0.909275,,6.38003 0.909275 0
6.41087,1.81159,0.905795,,6.41087 0.905795 0
6.41466,1.81062,0.90531,,6.41466 0.90531 0
6.45784,1.79863,0.899315,,6.45784 0.899315 0
6.4587,1.7984,0.8992,,6.4587 0.8992 0
6.55746,1.7789,0.88945,,6.55746 0.88945 0
6.55808,1.77883,0.889415,,6.55808 0.889415 0
6.59635,1.77414,0.88707,,6.59635 0.88707 0
6.61419,1.77105,0.885525,,6.61419 0.885525 0
6.67207,1.76332,0.88166,,6.67207 0.88166 0
6.68494,1.76129,0.880645,,6.68494 0.880645 0
6.68656,1.76098,0.88049,,6.68656 0.88049 0
6.75323,1.75012,0.87506,,6.75323 0.87506 0
6.86275,1.74602,0.87301,,6.86275 0.87301 0
6.86519,1.74608,0.87304,,6.86519 0.87304 0
6.92062,1.7467,0.87335,,6.92062 0.87335 0
6.92348,1.74667,0.873335,,6.92348 0.873335 0
6.95922,1.74613,0.873065,,6.95922 0.873065 0
6.99543,1.74493,0.872465,,6.99543 0.872465 0
7.01994,1.74384,0.87192,,7.01994 0.87192 0
7.04956,1.74273,0.871365,,7.04956 0.871365 0
7.06245,1.74229,0.871145,,7.06245 0.871145 0
7.06669,1.74209,0.871045,,7.06669 0.871045 0
7.12888,1.73996,0.86998,,7.12888 0.86998 0
7.13271,1.73981,0.869905,,7.13271 0.869905 0
7.17507,1.74003,0.870015,,7.17507 0.870015 0
7.2046,1.74067,0.870335,,7.2046 0.870335 0
7.2192,1.74069,0.870345,,7.2192 0.870345 0
7.22299,1.74062,0.87031,,7.22299 0.87031 0
7.23222,1.7402,0.8701,,7.23222 0.8701 0
7.25405,1.73886,0.86943,,7.25405 0.86943 0
7.28545,1.73674,0.86837,,7.28545 0.86837 0
7.31415,1.73527,0.867635,,7.31415 0.867635 0
7.38722,1.73418,0.86709,,7.38722 0.86709 0
7.39505,1.73397,0.866985,,7.39505 0.866985 0
7.4405,1.73329,0.866645,,7.4405 0.866645 0
7.48855,1.73062,0.86531,,7.48855 0.86531 0
7.5506,1.72969,0.864845,,7.5506 0.864845 0
7.58709,1.73045,0.865225,,7.58709 0.865225 0
7.59915,1.73055,0.865275,,7.59915 0.865275 0
7.62244,1.73013,0.865065,,7.62244 0.865065 0
7.65396,1.72897,0.864485,,7.65396 0.864485 0
7.71172,1.7268,0.8634,,7.71172 0.8634 0
7.75891,1.72467,0.862335,,7.75891 0.862335 0
7.77569,1.72376,0.86188,,7.77569 0.86188 0
7.84487,1.72443,0.862215,,7.84487 0.862215 0
7.89288,1.72653,0.863265,,7.89288 0.863265 0
7.90879,1.72701,0.863505,,7.90879 0.863505 0
7.9266,1.72861,0.864305,,7.9266 0.864305 0
7.92978,1.72891,0.864455,,7.92978 0.864455 0
7.96645,1.73067,0.865335,,7.96645 0.865335 0
7.98127,1.73172,0.86586,,7.98127 0.86586 0
8.03096,1.73329,0.866645,,8.03096 0.866645 0
8.05004,1.73448,0.86724,,8.05004 0.86724 0
8.05014,1.73449,0.867245,,8.05014 0.867245 0
8.07395,1.7352,0.8676,,8.07395 0.8676 0
8.09546,1.73651,0.868255,,8.09546 0.868255 0
8.09547,1.73651,0.868255,,8.09547 0.868255 0
8.09713,1.73659,0.868295,,8.09713 0.868295 0
8.17117,1.7396,0.8698,,8.17117 0.8698 0
8.18753,1.74078,0.87039,,8.18753 0.87039 0
8.20001,1.74129,0.870645,,8.20001 0.870645 0
8.27135,1.74693,0.873465,,8.27135 0.873465 0
8.2814,1.74747,0.873735,,8.2814 0.873735 0
8.31091,1.74832,0.87416,,8.31091 0.87416 0
8.3384,1.74763,0.873815,,8.3384 0.873815 0
8.38365,1.74821,0.874105,,8.38365 0.874105 0
8.39367,1.74816,0.87408,,8.39367 0.87408 0
8.41359,1.74772,0.87386,,8.41359 0.87386 0
8.44516,1.74805,0.874025,,8.44516 0.874025 0
8.49736,1.75055,0.875275,,8.49736 0.875275 0
8.50454,1.75115,0.875575,,8.50454 0.875575 0
8.53747,1.75346,0.87673,,8.53747 0.87673 0
8.54249,1.75375,0.876875,,8.54249 0.876875 0
8.5916,1.75644,0.87822,,8.5916 0.87822 0
8.59805,1.75667,0.878335,,8.59805 0.878335 0
8.60419,1.75642,0.87821,,8.60419 0.87821 0
8.65674,1.75404,0.87702,,8.65674 0.87702 0
8.6675,1.75381,0.876905,,8.6675 0.876905 0
8.69757,1.75422,0.87711,,8.69757 0.87711 0
8.71417,1.75451,0.877255,,8.71417 0.877255 0
8.71418,1.75451,0.877255,,8.71418 0.877255 0
8.71613,1.75456,0.87728,,8.71613 0.87728 0
8.71628,1.75455,0.877275,,8.71628 0.877275 0
8.72568,1.7541,0.87705,,8.72568 0.87705 0
8.73924,1.753,0.8765,,8.73924 0.8765 0
8.77852,1.74979,0.874895,,8.77852 0.874895 0
8.78061,1.74952,0.87476,,8.78061 0.87476 0
8.80526,1.74548,0.87274,,8.80526 0.87274 0
8.84032,1.74046,0.87023,,8.84032 0.87023 0
8.8964,1.73216,0.86608,,8.8964 0.86608 0
8.90613,1.73108,0.86554,,8.90613 0.86554 0
8.96622,1.72584,0.86292,,8.96622 0.86292 0
8.96714,1.72575,0.862875,,8.96714 0.862875 0
9.00546,1.72256,0.86128,,9.00546 0.86128 0
9.01656,1.7211,0.86055,,9.01656 0.86055 0
9.03094,1.71884,0.85942,,9.03094 0.85942 0
9.04601,1.71666,0.85833,,9.04601 0.85833 0
9.06129,1.71475,0.857375,,9.06129 0.857375 0
9.13498,1.71034,0.85517,,9.13498 0.85517 0
9.17601,1.70954,0.85477,,9.17601 0.85477 0
9.19921,1.70966,0.85483,,9.19921 0.85483 0
9.23725,1.70812,0.85406,,9.23725 0.85406 0
9.27413,1.7075,0.85375,,9.27413 0.85375 0
9.28602,1.70745,0.853725,,9.28602 0.853725 0
9.29941,1.707,0.8535,,9.29941 0.8535 0
9.31958,1.70528,0.85264,,9.31958 0.85264 0
9.35371,1.7027,0.85135,,9.35371 0.85135 0
9.39515,1.69907,0.849535,,9.39515 0.849535 0
9.40073,1.69846,0.84923,,9.40073 0.84923 0
9.44463,1.69269,0.846345,,9.44463 0.846345 0
9.44573,1.69248,0.84624,,9.44573 0.84624 0
9.51254,1.68217,0.841085,,9.51254 0.841085 0
9.52585,1.68061,0.840305,,9.52585 0.840305 0
9.55038,1.67848,0.83924,,9.55038 0.83924 0
9.55046,1.67848,0.83924,,9.55046 0.83924 0
9.57119,1.677,0.8385,,9.57119 0.8385 0
9.60708,1.67485,0.837425,,9.60708 0.837425 0
9.6426,1.67039,0.835195,,9.6426 0.835195 0
9.69552,1.66517,0.832585,,9.69552 0.832585 0
9.74941,1.66314,0.83157,,9.74941 0.83157 0
9.76615,1.66178,0.83089,,9.76615 0.83089 0
9.77368,1.66113,0.830565,,9.77368 0.830565 0
9.82667,1.65276,0.82638,,9.82667 0.82638 0
9.82883,1.65238,0.82619,,9.82883 0.82619 0
9.93941,1.64027,0.820135,,9.93941 0.820135 0
9.94177,1.64011,0.820055,,9.94177 0.820055 0
10.0029,1.63271,0.816355,,10.0029 0.816355 0
10.0883,1.63025,0.815125,,10.0883 0.815125 0
10.1221,1.63131,0.815655,,10.1221 0.815655 0
10.1624,1.63184,0.81592,,10.1624 0.81592 0
10.1699,1.63163,0.815815,,10.1699 0.815815 0
10.2187,1.63013,0.815065,,10.2187 0.815065 0
10.2195,1.6301,0.81505,,10.2195 0.81505 0
10.2198,1.63009,0.815045,,10.2198 0.815045 0
10.3009,1.63108,0.81554,,10.3009 0.81554 0
10.3152,1.63213,0.816065,,10.3152 0.816065 0
10.3261,1.63275,0.816375,,10.3261 0.816375 0
10.3329,1.63345,0.816725,,10.3329 0.816725 0
10.3702,1.63573,0.817865,,10.3702 0.817865 0
10.3712,1.63582,0.81791,,10.3712 0.81791 0
10.3829,1.6368,0.8184,,10.3829 0.8184 0
10.383,1.63681,0.818405,,10.383 0.818405 0
10.4159,1.63985,0.819925,,10.4159 0.819925 0
10.4251,1.64056,0.82028,,10.4251 0.82028 0
10.4488,1.64169,0.820845,,10.4488 0.820845 0
10.4765,1.64297,0.821485,,10.4765 0.821485 0
10.5734,1.65553,0.827765,,10.5734 0.827765 0
10.5745,1.65576,0.82788,,10.5745 0.82788 0
10.5852,1.65819,0.829095,,10.5852 0.829095 0
10.5879,1.65877,0.829385,,10.5879 0.829385 0
10.5993,1.66149,0.830745,,10.5993 0.830745 0
10.6021,1.66216,0.83108,,10.6021 0.83108 0
10.6021,1.66217,0.831085,,10.6021 0.831085 0
10.6168,1.66576,0.83288,,10.6168 0.83288 0
10.6171,1.66584,0.83292,,10.6171 0.83292 0
10.6257,1.66769,0.833845,,10.6257 0.833845 0
10.6265,1.66788,0.83394,,10.6265 0.83394 0
10.659,1.67527,0.837635,,10.659 0.837635 0
10.6633,1.6764,0.8382,,10.6633 0.8382 0
10.6766,1.67962,0.83981,,10.6766 0.83981 0
10.6767,1.67963,0.839815,,10.6767 0.839815 0
10.6882,1.68225,0.841125,,10.6882 0.841125 0
10.6883,1.68226,0.84113,,10.6883 0.84113 0
