Distance,Diameter,Radius,,Text File Input
6.01946,1.53993,0.769965,,6.01946 0.769965 0
6.05473,1.52695,0.763475,,6.05473 0.763475 0
6.07171,1.51999,0.759995,,6.07171 0.759995 0
6.12247,1.49957,0.749785,,6.12247 0.749785 0
6.17463,1.48087,0.740435,,6.17463 0.740435 0
6.21822,1.46537,0.732685,,6.21822 0.732685 0
6.29915,1.44154,0.72077,,6.29915 0.72077 0
6.31035,1.4386,0.7193,,6.31035 0.7193 0
6.33043,1.43315,0.716575,,6.33043 0.716575 0
6.33966,1.43019,0.715095,,6.33966 0.715095 0
6.41197,1.41,0.705,,6.41197 0.705 0
6.46946,1.39892,0.69946,,6.46946 0.69946 0
6.49604,1.39484,0.69742,,6.49604 0.69742 0
6.55778,1.3867,0.69335,,6.55778 0.69335 0
6.64341,1.38457,0.692285,,6.64341 0.692285 0
6.68339,1.38366,0.69183,,6.68339 0.69183 0
6.71012,1.38361,0.691805,,6.71012 0.691805 0
6.71721,1.38365,0.691825,,6.71721 0.691825 0
6.76568,1.38442,0.69221,,6.76568 0.69221 0
6.80488,1.38663,0.693315,,6.80488 0.693315 0
6.81207,1.38695,0.693475,,6.81207 0.693475 0
6.90725,1.39932,0.69966,,6.90725 0.69966 0
6.98938,1.42084,0.71042,,6.98938 0.71042 0
6.99002,1.42101,0.710505,,6.99002 0.710505 0
6.99422,1.42213,0.711065,,6.99422 0.711065 0
7.05028,1.43794,0.71897,,7.05028 0.71897 0
7.07887,1.4469,0.72345,,7.07887 0.72345 0
7.10962,1.45531,0.727655,,7.10962 0.727655 0
7.13682,1.46324,0.73162,,7.13682 0.73162 0
7.20149,1.48548,0.74274,,7.20149 0.74274 0
7.24634,1.50473,0.752365,,7.24634 0.752365 0
7.25452,1.50845,0.754225,,7.25452 0.754225 0
7.29159,1.52665,0.763325,,7.29159 0.763325 0
7.29287,1.52728,0.76364,,7.29287 0.76364 0
7.31184,1.53694,0.76847,,7.31184 0.76847 0
7.31512,1.53844,0.76922,,7.31512 0.76922 0
7.36126,1.55939,0.779695,,7.36126 0.779695 0
7.38454,1.57021,0.785105,,7.38454 0.785105 0
7.4307,1.59161,0.795805,,7.4307 0.795805 0
7.44856,1.60017,0.800085,,7.44856 0.800085 0
7.47461,1.61259,0.806295,,7.47461 0.806295 0
7.50879,1.62971,0.814855,,7.50879 0.814855 0
7.51686,1.63374,0.81687,,7.51686 0.81687 0
7.55869,1.65402,0.82701,,7.55869 0.82701 0
7.56875,1.65868,0.82934,,7.56875 0.82934 0
7.57682,1.6623,0.83115,,7.57682 0.83115 0
7.62072,1.68188,0.84094,,7.62072 0.84094 0
7.63467,1.68825,0.844125,,7.63467 0.844125 0
7.65902,1.69865,0.849325,,7.65902 0.849325 0
7.68428,1.70921,0.854605,,7.68428 0.854605 0
7.70824,1.7188,0.8594,,7.70824 0.8594 0
7.70831,1.71883,0.859415,,7.70831 0.859415 0
7.72626,1.72573,0.862865,,7.72626 0.862865 0
7.72868,1.72657,0.863285,,7.72868 0.863285 0
7.78094,1.74548,0.87274,,7.78094 0.87274 0
7.80045,1.75161,0.875805,,7.80045 0.875805 0
7.8046,1.75287,0.876435,,7.8046 0.876435 0
7.82257,1.75693,0.878465,,7.82257 0.878465 0
7.87182,1.76967,0.884835,,7.87182 0.884835 0
7.87964,1.77127,0.885635,,7.87964 0.885635 0
7.88011,1.77135,0.885675,,7.88011 0.885675 0
7.89452,1.77338,0.88669,,7.89452 0.88669 0
7.94147,1.78085,0.890425,,7.94147 0.890425 0
7.95851,1.78356,0.89178,,7.95851 0.89178 0
7.96355,1.78398,0.89199,,7.96355 0.89199 0
8.00901,1.78735,0.893675,,8.00901 0.893675 0
8.02687,1.78871,0.894355,,8.02687 0.894355 0
8.06371,1.79248,0.89624,,8.06371 0.89624 0
8.11509,1.79268,0.89634,,8.11509 0.89634 0
8.12961,1.79187,0.895935,,8.12961 0.895935 0
8.15022,1.79111,0.895555,,8.15022 0.895555 0
8.18077,1.78965,0.894825,,8.18077 0.894825 0
8.21019,1.78847,0.894235,,8.21019 0.894235 0
8.24844,1.78739,0.893695,,8.24844 0.893695 0
8.27016,1.78666,0.89333,,8.27016 0.89333 0
8.29617,1.78556,0.89278,,8.29617 0.89278 0
8.30288,1.7849,0.89245,,8.30288 0.89245 0
8.33712,1.78208,0.89104,,8.33712 0.89104 0
8.35808,1.78027,0.890135,,8.35808 0.890135 0
8.43058,1.77505,0.887525,,8.43058 0.887525 0
8.46285,1.77487,0.887435,,8.46285 0.887435 0
8.51208,1.77582,0.88791,,8.51208 0.88791 0
8.51219,1.77582,0.88791,,8.51219 0.88791 0
8.52627,1.77623,0.888115,,8.52627 0.888115 0
8.54857,1.77631,0.888155,,8.54857 0.888155 0
8.61849,1.77868,0.88934,,8.61849 0.88934 0
8.61902,1.7787,0.88935,,8.61902 0.88935 0
8.62229,1.77889,0.889445,,8.62229 0.889445 0
8.66779,1.7815,0.89075,,8.66779 0.89075 0
8.68148,1.78296,0.89148,,8.68148 0.89148 0
8.73564,1.78838,0.89419,,8.73564 0.89419 0
8.76678,1.79303,0.896515,,8.76678 0.896515 0
8.80266,1.79629,0.898145,,8.80266 0.898145 0
8.81576,1.79741,0.898705,,8.81576 0.898705 0
8.8406,1.79904,0.89952,,8.8406 0.89952 0
8.88979,1.80283,0.901415,,8.88979 0.901415 0
8.92009,1.80409,0.902045,,8.92009 0.902045 0
8.95424,1.80579,0.902895,,8.95424 0.902895 0
8.99777,1.80864,0.90432,,8.99777 0.90432 0
9.00619,1.80904,0.90452,,9.00619 0.90452 0
9.06048,1.81261,0.906305,,9.06048 0.906305 0
9.115,1.81822,0.90911,,9.115 0.90911 0
9.13858,1.8205,0.91025,,9.13858 0.91025 0
9.18207,1.82412,0.91206,,9.18207 0.91206 0
9.1986,1.82505,0.912525,,9.1986 0.912525 0
9.21541,1.82519,0.912595,,9.21541 0.912595 0
9.21891,1.82519,0.912595,,9.21891 0.912595 0
9.26143,1.82542,0.91271,,9.26143 0.91271 0
9.29274,1.82511,0.912555,,9.29274 0.912555 0
9.30045,1.82497,0.912485,,9.30045 0.912485 0
9.30396,1.82487,0.912435,,9.30396 0.912435 0
