Distance,Diameter,Radius,FFR,Text File Input
11.7422,1.7887,0.89435,,11.7422 0.89435 0
11.7688,1.778,0.889,,11.7688 0.889 0
11.8117,1.76254,0.88127,,11.8117 0.88127 0
11.8783,1.74066,0.87033,,11.8783 0.87033 0
11.9248,1.72701,0.863505,,11.9248 0.863505 0
11.9419,1.72263,0.861315,,11.9419 0.861315 0
11.9592,1.71805,0.859025,,11.9592 0.859025 0
11.974,1.71349,0.856745,,11.974 0.856745 0
12.0239,1.69914,0.84957,,12.0239 0.84957 0
12.0852,1.68504,0.84252,,12.0852 0.84252 0
12.1409,1.67128,0.83564,,12.1409 0.83564 0
12.1773,1.66484,0.83242,,12.1773 0.83242 0
12.2163,1.65735,0.828675,,12.2163 0.828675 0
12.2776,1.64835,0.824175,,12.2776 0.824175 0
12.295,1.64612,0.82306,,12.295 0.82306 0
12.353,1.64013,0.820065,,12.353 0.820065 0
12.3764,1.63815,0.819075,,12.3764 0.819075 0
12.4168,1.63329,0.816645,,12.4168 0.816645 0
12.4424,1.6303,0.81515,,12.4424 0.81515 0
12.5163,1.62462,0.81231,,12.5163 0.81231 0
12.5512,1.62414,0.81207,,12.5512 0.81207 0
12.5932,1.62379,0.811895,,12.5932 0.811895 0
12.6125,1.62384,0.81192,,12.6125 0.81192 0
12.6257,1.62361,0.811805,,12.6257 0.811805 0
12.6844,1.62387,0.811935,,12.6844 0.811935 0
12.7043,1.62457,0.812285,,12.7043 0.812285 0
12.7658,1.62854,0.81427,,12.7658 0.81427 0
12.7714,1.62903,0.814515,,12.7714 0.814515 0
12.8295,1.6351,0.81755,,12.8295 0.81755 0
12.8317,1.63529,0.817645,,12.8317 0.817645 0
12.8558,1.63856,0.81928,,12.8558 0.81928 0
12.8954,1.64372,0.82186,,12.8954 0.82186 0
12.9263,1.64816,0.82408,,12.9263 0.82408 0
12.9499,1.65107,0.825535,,12.9499 0.825535 0
12.9514,1.65124,0.82562,,12.9514 0.82562 0
12.9962,1.65677,0.828385,,12.9962 0.828385 0
13.0466,1.6633,0.83165,,13.0466 0.83165 0
13.0669,1.66677,0.833385,,13.0669 0.833385 0
13.1132,1.6769,0.83845,,13.1132 0.83845 0
13.1667,1.69116,0.84558,,13.1667 0.84558 0
13.1811,1.6952,0.8476,,13.1811 0.8476 0
13.1971,1.69871,0.849355,,13.1971 0.849355 0
13.2133,1.70212,0.85106,,13.2133 0.85106 0
13.2328,1.70637,0.853185,,13.2328 0.853185 0
13.2385,1.7075,0.85375,,13.2385 0.85375 0
13.2499,1.70978,0.85489,,13.2499 0.85489 0
13.3089,1.72349,0.861745,,13.3089 0.861745 0
13.3186,1.72566,0.86283,,13.3186 0.86283 0
13.3851,1.74468,0.87234,,13.3851 0.87234 0
13.4246,1.75883,0.879415,,13.4246 0.879415 0
13.4503,1.76765,0.883825,,13.4503 0.883825 0
13.4657,1.77257,0.886285,,13.4657 0.886285 0
13.5109,1.78746,0.89373,,13.5109 0.89373 0
13.5179,1.78976,0.89488,,13.5179 0.89488 0
13.5661,1.80585,0.902925,,13.5661 0.902925 0
13.6402,1.83364,0.91682,,13.6402 0.91682 0
13.6714,1.84703,0.923515,,13.6714 0.923515 0
13.7307,1.8738,0.9369,,13.7307 0.9369 0
13.7323,1.87452,0.93726,,13.7323 0.93726 0
13.734,1.87528,0.93764,,13.734 0.93764 0
13.7719,1.89166,0.94583,,13.7719 0.94583 0
13.778,1.89404,0.94702,,13.778 0.94702 0
13.7947,1.90038,0.95019,,13.7947 0.95019 0
13.8398,1.91797,0.958985,,13.8398 0.958985 0
13.8485,1.92163,0.960815,,13.8485 0.960815 0
13.9471,1.96692,0.98346,,13.9471 0.98346 0
13.9556,1.97132,0.98566,,13.9556 0.98566 0
13.9932,1.99195,0.995975,,13.9932 0.995975 0
13.9955,1.99317,0.996585,,13.9955 0.996585 0
14.0706,2.03477,1.017385,,14.0706 1.017385 0
14.0845,2.0423,1.02115,,14.0845 1.02115 0
14.1118,2.05704,1.02852,,14.1118 1.02852 0
14.1773,2.09215,1.046075,,14.1773 1.046075 0
14.1797,2.09343,1.046715,,14.1797 1.046715 0
14.2591,2.13639,1.068195,,14.2591 1.068195 0
14.3238,2.1754,1.0877,,14.3238 1.0877 0
14.3542,2.19351,1.096755,,14.3542 1.096755 0
14.3777,2.20752,1.10376,,14.3777 1.10376 0
14.3967,2.21804,1.10902,,14.3967 1.10902 0
14.4178,2.22955,1.114775,,14.4178 1.114775 0
