Distance,Diameter,Radius,,Text File Input
7.67026,1.66576,0.83288,,7.67026 0.83288 0
7.76681,1.6597,0.82985,,7.76681 0.82985 0
7.83512,1.65665,0.828325,,7.83512 0.828325 0
7.88117,1.65561,0.827805,,7.88117 0.827805 0
7.88274,1.65557,0.827785,,7.88274 0.827785 0
7.92024,1.65403,0.827015,,7.92024 0.827015 0
7.92627,1.65364,0.82682,,7.92627 0.82682 0
7.98275,1.64839,0.824195,,7.98275 0.824195 0
8.02297,1.64444,0.82222,,8.02297 0.82222 0
8.05761,1.64067,0.820335,,8.05761 0.820335 0
8.06155,1.64023,0.820115,,8.06155 0.820115 0
8.12517,1.6331,0.81655,,8.12517 0.81655 0
8.20686,1.62804,0.81402,,8.20686 0.81402 0
8.20943,1.62779,0.813895,,8.20943 0.813895 0
8.26704,1.61959,0.809795,,8.26704 0.809795 0
8.29732,1.61566,0.80783,,8.29732 0.80783 0
8.32342,1.61131,0.805655,,8.32342 0.805655 0
8.39076,1.60123,0.800615,,8.39076 0.800615 0
8.40254,1.59932,0.79966,,8.40254 0.79966 0
8.40831,1.5982,0.7991,,8.40831 0.7991 0
8.4895,1.5844,0.7922,,8.4895 0.7922 0
8.55492,1.57499,0.787495,,8.55492 0.787495 0
8.62391,1.56289,0.781445,,8.62391 0.781445 0
8.68665,1.54971,0.774855,,8.68665 0.774855 0
8.68828,1.5494,0.7747,,8.68828 0.7747 0
8.69531,1.54801,0.774005,,8.69531 0.774005 0
8.69948,1.54718,0.77359,,8.69948 0.77359 0
8.73094,1.53973,0.769865,,8.73094 0.769865 0
8.73107,1.5397,0.76985,,8.73107 0.76985 0
8.74669,1.53591,0.767955,,8.74669 0.767955 0
8.80599,1.52193,0.760965,,8.80599 0.760965 0
8.87323,1.51136,0.75568,,8.87323 0.75568 0
8.87381,1.51127,0.755635,,8.87381 0.755635 0
8.87746,1.51086,0.75543,,8.87746 0.75543 0
8.94001,1.50441,0.752205,,8.94001 0.752205 0
8.94893,1.50324,0.75162,,8.94893 0.75162 0
8.99179,1.49829,0.749145,,8.99179 0.749145 0
9.02099,1.49421,0.747105,,9.02099 0.747105 0
9.03146,1.49151,0.745755,,9.03146 0.745755 0
9.08587,1.47975,0.739875,,9.08587 0.739875 0
9.10061,1.47728,0.73864,,9.10061 0.73864 0
9.14504,1.47159,0.735795,,9.14504 0.735795 0
9.14731,1.47124,0.73562,,9.14731 0.73562 0
9.2049,1.46185,0.730925,,9.2049 0.730925 0
9.22956,1.45809,0.729045,,9.22956 0.729045 0
9.27135,1.45166,0.72583,,9.27135 0.72583 0
9.31528,1.44428,0.72214,,9.31528 0.72214 0
9.32359,1.44314,0.72157,,9.32359 0.72157 0
9.35716,1.43852,0.71926,,9.35716 0.71926 0
9.40605,1.43257,0.716285,,9.40605 0.716285 0
9.40926,1.43209,0.716045,,9.40926 0.716045 0
9.45532,1.4252,0.7126,,9.45532 0.7126 0
9.46848,1.42361,0.711805,,9.46848 0.711805 0
9.46976,1.42341,0.711705,,9.46976 0.711705 0
9.48085,1.42159,0.710795,,9.48085 0.710795 0
9.49907,1.41903,0.709515,,9.49907 0.709515 0
9.50462,1.41802,0.70901,,9.50462 0.70901 0
9.53477,1.41227,0.706135,,9.53477 0.706135 0
9.55861,1.40855,0.704275,,9.55861 0.704275 0
9.64727,1.40296,0.70148,,9.64727 0.70148 0
9.65169,1.40302,0.70151,,9.65169 0.70151 0
9.69255,1.40287,0.701435,,9.69255 0.701435 0
9.7029,1.40319,0.701595,,9.7029 0.701595 0
9.74795,1.4026,0.7013,,9.74795 0.7013 0
9.75738,1.40226,0.70113,,9.75738 0.70113 0
9.7906,1.40173,0.700865,,9.7906 0.700865 0
9.81688,1.40177,0.700885,,9.81688 0.700885 0
9.83852,1.40205,0.701025,,9.83852 0.701025 0
9.89313,1.40378,0.70189,,9.89313 0.70189 0
9.9453,1.40574,0.70287,,9.9453 0.70287 0
9.9479,1.40586,0.70293,,9.9479 0.70293 0
9.9635,1.40574,0.70287,,9.9635 0.70287 0
10.0118,1.40616,0.70308,,10.0118 0.70308 0
10.0417,1.40761,0.703805,,10.0417 0.703805 0
10.0505,1.40786,0.70393,,10.0505 0.70393 0
10.0809,1.40821,0.704105,,10.0809 0.704105 0
10.1075,1.40856,0.70428,,10.1075 0.70428 0
10.1127,1.40852,0.70426,,10.1127 0.70426 0
10.1135,1.4085,0.70425,,10.1135 0.70425 0
10.1139,1.40848,0.70424,,10.1139 0.70424 0
10.1444,1.40678,0.70339,,10.1444 0.70339 0
10.2176,1.40822,0.70411,,10.2176 0.70411 0
10.2277,1.40924,0.70462,,10.2277 0.70462 0
10.2388,1.41076,0.70538,,10.2388 0.70538 0
10.2394,1.41085,0.705425,,10.2394 0.705425 0
10.2593,1.41323,0.706615,,10.2593 0.706615 0
10.2674,1.41402,0.70701,,10.2674 0.70701 0
10.3044,1.41728,0.70864,,10.3044 0.70864 0
10.313,1.41811,0.709055,,10.313 0.709055 0
10.3267,1.41908,0.70954,,10.3267 0.70954 0
