Distance,Diameter,Radius,FFR,Text File Input
7.87782,1.59975,0.799875,,7.87782 0.799875 0
7.89312,1.59934,0.79967,,7.89312 0.79967 0
7.93805,1.59924,0.79962,,7.93805 0.79962 0
7.96437,1.6001,0.80005,,7.96437 0.80005 0
7.96979,1.60037,0.800185,,7.96979 0.800185 0
7.98651,1.6012,0.8006,,7.98651 0.8006 0
7.98653,1.60121,0.800605,,7.98653 0.800605 0
7.99205,1.60147,0.800735,,7.99205 0.800735 0
7.99311,1.60158,0.80079,,7.99311 0.80079 0
8.02995,1.60538,0.80269,,8.02995 0.80269 0
8.05285,1.609,0.8045,,8.05285 0.8045 0
8.06717,1.61119,0.805595,,8.06717 0.805595 0
8.07647,1.61267,0.806335,,8.07647 0.806335 0
8.10234,1.61672,0.80836,,8.10234 0.80836 0
8.14187,1.62229,0.811145,,8.14187 0.811145 0
8.14255,1.62237,0.811185,,8.14255 0.811185 0
8.1811,1.62633,0.813165,,8.1811 0.813165 0
8.18585,1.62687,0.813435,,8.18585 0.813435 0
8.22365,1.62991,0.814955,,8.22365 0.814955 0
8.22724,1.63022,0.81511,,8.22724 0.81511 0
8.23286,1.63067,0.815335,,8.23286 0.815335 0
8.24739,1.63148,0.81574,,8.24739 0.81574 0
8.3099,1.63917,0.819585,,8.3099 0.819585 0
8.33968,1.64469,0.822345,,8.33968 0.822345 0
8.35812,1.648,0.824,,8.35812 0.824 0
8.37782,1.65135,0.825675,,8.37782 0.825675 0
8.38006,1.65167,0.825835,,8.38006 0.825835 0
8.39729,1.65348,0.82674,,8.39729 0.82674 0
8.42958,1.65607,0.828035,,8.42958 0.828035 0
8.43651,1.65671,0.828355,,8.43651 0.828355 0
8.46924,1.65864,0.82932,,8.46924 0.82932 0
8.51799,1.66335,0.831675,,8.51799 0.831675 0
8.55968,1.66905,0.834525,,8.55968 0.834525 0
8.57172,1.671,0.8355,,8.57172 0.8355 0
8.58291,1.6725,0.83625,,8.58291 0.83625 0
8.58784,1.67325,0.836625,,8.58784 0.836625 0
8.60133,1.67534,0.83767,,8.60133 0.83767 0
8.60185,1.6754,0.8377,,8.60185 0.8377 0
8.60615,1.67573,0.837865,,8.60615 0.837865 0
8.61086,1.67601,0.838005,,8.61086 0.838005 0
8.62384,1.67653,0.838265,,8.62384 0.838265 0
8.6733,1.6794,0.8397,,8.6733 0.8397 0
8.7088,1.68329,0.841645,,8.7088 0.841645 0
8.72615,1.68558,0.84279,,8.72615 0.84279 0
8.75282,1.68897,0.844485,,8.75282 0.844485 0
8.76738,1.69034,0.84517,,8.76738 0.84517 0
8.79821,1.69333,0.846665,,8.79821 0.846665 0
8.80343,1.69377,0.846885,,8.80343 0.846885 0
8.85045,1.69649,0.848245,,8.85045 0.848245 0
8.86143,1.69714,0.84857,,8.86143 0.84857 0
8.86283,1.69721,0.848605,,8.86283 0.848605 0
8.88952,1.69839,0.849195,,8.88952 0.849195 0
8.93887,1.69431,0.847155,,8.93887 0.847155 0
8.99771,1.69138,0.84569,,8.99771 0.84569 0
9.00357,1.69115,0.845575,,9.00357 0.845575 0
9.0605,1.69126,0.84563,,9.0605 0.84563 0
9.06181,1.69121,0.845605,,9.06181 0.845605 0
9.12342,1.68832,0.84416,,9.12342 0.84416 0
9.15226,1.68584,0.84292,,9.15226 0.84292 0
9.2165,1.68374,0.84187,,9.2165 0.84187 0
9.22675,1.6841,0.84205,,9.22675 0.84205 0
9.23156,1.68406,0.84203,,9.23156 0.84203 0
9.26943,1.68336,0.84168,,9.26943 0.84168 0
9.29077,1.6829,0.84145,,9.29077 0.84145 0
9.29078,1.6829,0.84145,,9.29078 0.84145 0
9.29091,1.6829,0.84145,,9.29091 0.84145 0
9.33911,1.68089,0.840445,,9.33911 0.840445 0
9.35326,1.68051,0.840255,,9.35326 0.840255 0
9.40719,1.67896,0.83948,,9.40719 0.83948 0
9.43346,1.67859,0.839295,,9.43346 0.839295 0
9.44678,1.67868,0.83934,,9.44678 0.83934 0
9.48394,1.67811,0.839055,,9.48394 0.839055 0
9.48464,1.67807,0.839035,,9.48464 0.839035 0
9.53664,1.67591,0.837955,,9.53664 0.837955 0
9.6149,1.6634,0.8317,,9.6149 0.8317 0
9.68343,1.65821,0.829105,,9.68343 0.829105 0
9.69747,1.65752,0.82876,,9.69747 0.82876 0
9.71353,1.65647,0.828235,,9.71353 0.828235 0
9.72927,1.65576,0.82788,,9.72927 0.82788 0
9.7397,1.65494,0.82747,,9.7397 0.82747 0
9.78536,1.64926,0.82463,,9.78536 0.82463 0
9.78546,1.64925,0.824625,,9.78546 0.824625 0
9.79769,1.64776,0.82388,,9.79769 0.82388 0
9.83949,1.64313,0.821565,,9.83949 0.821565 0
9.85621,1.64033,0.820165,,9.85621 0.820165 0
9.88212,1.63528,0.81764,,9.88212 0.81764 0
9.88377,1.63494,0.81747,,9.88377 0.81747 0
9.91299,1.62863,0.814315,,9.91299 0.814315 0
9.974,1.61509,0.807545,,9.974 0.807545 0
10.0343,1.60204,0.80102,,10.0343 0.80102 0
10.0373,1.60149,0.800745,,10.0373 0.800745 0
10.1048,1.59036,0.79518,,10.1048 0.79518 0
10.1133,1.58843,0.794215,,10.1133 0.794215 0
10.1691,1.57672,0.78836,,10.1691 0.78836 0
10.1871,1.57282,0.78641,,10.1871 0.78641 0
10.236,1.56333,0.781665,,10.236 0.781665 0
10.2907,1.55519,0.777595,,10.2907 0.777595 0
10.3142,1.55182,0.77591,,10.3142 0.77591 0
10.3162,1.55146,0.77573,,10.3162 0.77573 0
10.3228,1.55008,0.77504,,10.3228 0.77504 0
10.3588,1.54102,0.77051,,10.3588 0.77051 0
10.3589,1.54099,0.770495,,10.3589 0.770495 0
10.4079,1.52441,0.762205,,10.4079 0.762205 0
10.408,1.52438,0.76219,,10.408 0.76219 0
10.4646,1.50585,0.752925,,10.4646 0.752925 0
