Distance,Diameter,Radius,,text,,,FFR
3.59567,1.98378,0.99189,,3.59567 0.99189 0,,,
3.61049,1.97829,0.989145,,3.61049 0.989145 0,,,
3.6441,1.96544,0.98272,,3.6441 0.98272 0,,,
3.64882,1.96367,0.981835,,3.64882 0.981835 0,,,
3.66727,1.95613,0.978065,,3.66727 0.978065 0,,,
3.69223,1.9453,0.97265,,3.69223 0.97265 0,,,
3.69441,1.94432,0.97216,,3.69441 0.97216 0,,,
3.69537,1.94384,0.97192,,3.69537 0.97192 0,,,
3.74236,1.91953,0.959765,,3.74236 0.959765 0,,,
3.7551,1.91236,0.95618,,3.7551 0.95618 0,,,
3.79207,1.89075,0.945375,,3.79207 0.945375 0,,,
3.82012,1.87511,0.937555,,3.82012 0.937555 0,,,
3.83794,1.86409,0.932045,,3.83794 0.932045 0,,,
3.86151,1.84911,0.924555,,3.86151 0.924555 0,,,
3.87976,1.8374,0.9187,,3.87976 0.9187 0,,,
3.88,1.83723,0.918615,,3.88 0.918615 0,,,
3.92204,1.80852,0.90426,,3.92204 0.90426 0,,,
3.9419,1.79503,0.897515,,3.9419 0.897515 0,,,
3.96538,1.77747,0.888735,,3.96538 0.888735 0,,,
4.00142,1.75121,0.875605,,4.00142 0.875605 0,,,
4.02177,1.73541,0.867705,,4.02177 0.867705 0,,,
4.04899,1.71361,0.856805,,4.04899 0.856805 0,,,
4.09443,1.67808,0.83904,,4.09443 0.83904 0,,,
4.10712,1.66799,0.833995,,4.10712 0.833995 0,,,
4.14167,1.63976,0.81988,,4.14167 0.81988 0,,,
4.14788,1.63447,0.817235,,4.14788 0.817235 0,,,
4.21565,1.57836,0.78918,,4.21565 0.78918 0,,,
4.22322,1.57224,0.78612,,4.22322 0.78612 0,,,
4.26981,1.53422,0.76711,,4.26981 0.76711 0,,,
4.2785,1.52736,0.76368,,4.2785 0.76368 0,,,
4.32448,1.49243,0.746215,,4.32448 0.746215 0,,,
4.33622,1.48413,0.742065,,4.33622 0.742065 0,,,
4.40318,1.43664,0.71832,,4.40318 0.71832 0,,,
4.44877,1.40597,0.702985,,4.44877 0.702985 0,,,
4.45487,1.40187,0.700935,,4.45487 0.700935 0,,,
